value,label,description
barrios_unidos_centro,Barrios Unidos Centro,Centro de Barrios Unidos
ciudad_jardin,Ciudad Jardín,Barrio Ciudad Jardín
el_retiro,El Retiro,Barrio El Retiro
la_esperanza,La Esperanza,Barrio La Esperanza
las_ferias,Las Ferias,Barrio Las Ferias
modelia,Modelia,Barrio Modelia
pasadena,Pasadena,Barrio Pasadena
pasadena_norte,Pasadena Norte,Barrio Pasadena Norte
pasadena_sur,Pasadena Sur,Barrio Pasadena Sur
pasadena_centro,Pasadena Centro,Barrio Pasadena Centro
pasadena_occidental,Pasadena Occidental,Barrio Pasadena Occidental
pasadena_oriental,Pasadena Oriental,Barrio Pasadena Oriental
pasadena_san_rafael,Pasadena San Rafael,Barrio Pasadena San Rafael
pasadena_villa_maria,Pasadena Villa María,Barrio Pasadena Villa María
pasadena_villa_rosa,Pasadena Villa Rosa,Barrio Pasadena Villa Rosa
pasadena_villa_susana,Pasadena Villa Susana,Barrio Pasadena Villa Susana
pasadena_villa_teresa,Pasadena Villa Teresa,Barrio Pasadena Villa Teresa
pasadena_villa_verde,Pasadena Villa Verde,Barrio Pasadena Villa Verde
pasadena_villa_victoria,Pasadena Villa Victoria,Barrio Pasadena Villa Victoria
pasadena_villa_zoraida,Pasadena Villa Zoraida,Barrio Pasadena Villa Zoraida
pasadena_villa_amparo,Pasadena Villa Amparo,Barrio Pasadena Villa Amparo
pasadena_villa_angela,Pasadena Villa Ángela,Barrio Pasadena Villa Ángela
pasadena_villa_beatriz,Pasadena Villa Beatriz,Barrio Pasadena Villa Beatriz
pasadena_villa_carmen,Pasadena Villa Carmen,Barrio Pasadena Villa Carmen
pasadena_villa_diana,Pasadena Villa Diana,Barrio Pasadena Villa Diana
pasadena_villa_elena,Pasadena Villa Elena,Barrio Pasadena Villa Elena
pasadena_villa_francisca,Pasadena Villa Francisca,Barrio Pasadena Villa Francisca
pasadena_villa_gloria,Pasadena Villa Gloria,Barrio Pasadena Villa Gloria
pasadena_villa_helena,Pasadena Villa Helena,Barrio Pasadena Villa Helena
pasadena_villa_irene,Pasadena Villa Irene,Barrio Pasadena Villa Irene
pasadena_villa_julia,Pasadena Villa Julia,Barrio Pasadena Villa Julia
pasadena_villa_karen,Pasadena Villa Karen,Barrio Pasadena Villa Karen
pasadena_villa_laura,Pasadena Villa Laura,Barrio Pasadena Villa Laura
pasadena_villa_margarita,Pasadena Villa Margarita,Barrio Pasadena Villa Margarita
pasadena_villa_natalia,Pasadena Villa Natalia,Barrio Pasadena Villa Natalia
pasadena_villa_olga,Pasadena Villa Olga,Barrio Pasadena Villa Olga
pasadena_villa_patricia,Pasadena Villa Patricia,Barrio Pasadena Villa Patricia
pasadena_villa_quinta,Pasadena Villa Quinta,Barrio Pasadena Villa Quinta
pasadena_villa_rosa_maria,Pasadena Villa Rosa María,Barrio Pasadena Villa Rosa María
pasadena_villa_sandra,Pasadena Villa Sandra,Barrio Pasadena Villa Sandra
pasadena_villa_teresa_maria,Pasadena Villa Teresa María,Barrio Pasadena Villa Teresa María
pasadena_villa_ursula,Pasadena Villa Úrsula,Barrio Pasadena Villa Úrsula
pasadena_villa_valentina,Pasadena Villa Valentina,Barrio Pasadena Villa Valentina
pasadena_villa_wendy,Pasadena Villa Wendy,Barrio Pasadena Villa Wendy
pasadena_villa_ximena,Pasadena Villa Ximena,Barrio Pasadena Villa Ximena
pasadena_villa_yolanda,Pasadena Villa Yolanda,Barrio Pasadena Villa Yolanda
pasadena_villa_zulema,Pasadena Villa Zulema,Barrio Pasadena Villa Zulema
